Code;Service;COD;OPAY;RPAY;NOT;DLV;DLVIN;DLVT;DNG;FDNG;FRZ;COLD;WARM;SPV;TECH;EXPR;TSUP;INSU;XMAN;SPTR;BSPLIT;DLVWORK;RETPP
BBU;DB Schenker Budget;l;l;l;l;l;l;l;l;l;;;l;l;l;l;l;l;;;;;
BCF;DB Schenker System (fd Comfort);l;l;l;l;l;l;l;l;l;;;l;l;l;l;l;l;l;;l;;
BCS;DB SCHENKERcoldsped;l;l;l;l;;l;l;;;;l;;;l;l;l;l;l;l;;;
BCSI;DB SCHENKERcoldsped International;l;;;l;;;;;;;l;;;l;;;l;;;;;
BDI;DB SCHENKERdirect;l;l;l;l;;;l;l;l;;;l;;l;;l;l;l;l;;;
BFL;DB SCHENKERflow;;;;;;;;;;;;;;;;;;;;;;
BHP;DB SCHENKERprivpak Ombud Standard (t.o.m. 20 kg);l;;;l;;;;;;;;;;;;;;;;;;l
BLP;DB Schenker Logistikpaket;l;l;l;l;;;;;;;;;;;l;;l;;;;;
BPA;DB SCHENKERparcel;l;l;l;l;l;;;;;;;;;;l;;l;;;;l;
BPALL;DB SCHENKERpallet;l;;;l;;;;l;;;;;;;;l;l;;;;;
BPHDAP;DB SCHENKERprivpak Hem Dag med avisering (paket);l;;;l;;;;;;;;;;;;;l;;;;;
BPHDP;DB SCHENKERprivpak Hem Dag;;;;l;;;;;;;;;;;;;;;;;;
BPHKAP;DB SCHENKERprivpak Hem Kväll med avisering;l;;;l;;;;;;;;;;;;;l;;;;;
BPTJP;DB SCHENKERprivpak Till Jobbet;l;;;l;;;;;;;;;;;;;l;;;;;
BPOSG;DB SCHENKERprivpak Terminal;;;;;;;;;;;;;;;;;;;;;;
